timestamp,task_name,name,index,cpu_power,utilization.gpu [%],tensor_active,dram_power,cpu_usage,clocks.current.memory [MHz],sm_active,dram_usage,dram_active,power.draw [W],clocks.current.graphics [MHz],usage.memory [%],temperature.memory,utilization.memory [%],clocks.current.sm [MHz],temperature.gpu,pcie.link.width.current,nvlink_tx_bytes,pcie_tx_bytes,nvlink_rx_bytes,pcie.link.gen.current,pcie_rx_bytes,sm_occupancy
2025-05-07 14:39:14.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.05 W,100.00 %,90.60 %,9.35 W,4.3 %,1512 MHz,99.90 %,5.6 %,18.20 %,308.21 W,1170 MHz,94.56 %,65.00 °C,35.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:14.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,142.50 W,100.00 %,69.90 %,9.04 W,3.6 %,1512 MHz,100.00 %,5.6 %,16.60 %,333.93 W,1125 MHz,94.56 %,65.00 °C,35.00 %,1125 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:14.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,142.31 W,100.00 %,70.10 %,9.47 W,5.9 %,1512 MHz,100.00 %,5.6 %,14.80 %,271.45 W,1125 MHz,94.56 %,65.00 °C,23.00 %,1125 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:15.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,134.71 W,100.00 %,90.50 %,9.42 W,4.3 %,1512 MHz,100.00 %,5.6 %,21.80 %,304.91 W,1170 MHz,94.56 %,65.00 °C,23.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:15.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,132.72 W,100.00 %,91.50 %,9.37 W,4.1 %,1512 MHz,100.00 %,5.6 %,16.60 %,307.72 W,1110 MHz,94.56 %,65.00 °C,31.00 %,1110 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:15.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,141.36 W,100.00 %,69.80 %,9.23 W,4.0 %,1512 MHz,100.00 %,5.6 %,13.20 %,279.68 W,1065 MHz,94.56 %,65.00 °C,31.00 %,1065 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:15.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,133.83 W,100.00 %,3.30 %,9.28 W,3.4 %,1512 MHz,77.70 %,5.6 %,27.30 %,220.82 W,1170 MHz,94.56 %,65.00 °C,26.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,71.70 %
2025-05-07 14:39:15.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.01 W,100.00 %,93.40 %,9.34 W,3.7 %,1512 MHz,99.90 %,5.6 %,16.90 %,311.13 W,1170 MHz,94.56 %,65.00 °C,26.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:15.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.55 W,100.00 %,70.10 %,9.18 W,3.7 %,1512 MHz,100.00 %,5.6 %,14.10 %,364.19 W,1050 MHz,94.56 %,65.00 °C,27.00 %,1050 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:15.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.29 W,100.00 %,91.70 %,9.25 W,2.8 %,1512 MHz,100.00 %,5.6 %,17.50 %,292.55 W,1125 MHz,94.56 %,65.00 °C,27.00 %,1125 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:15.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,106.25 W,100.00 %,92.90 %,9.48 W,4.4 %,1512 MHz,99.90 %,5.6 %,16.00 %,304.02 W,1170 MHz,94.56 %,65.00 °C,31.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:15.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,125.05 W,100.00 %,70.10 %,9.12 W,4.0 %,1512 MHz,100.00 %,5.6 %,15.30 %,288.72 W,1080 MHz,94.56 %,65.00 °C,31.00 %,1080 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:16.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.52 W,100.00 %,69.80 %,9.42 W,3.4 %,1512 MHz,100.00 %,5.6 %,15.00 %,290.30 W,1065 MHz,94.56 %,65.00 °C,35.00 %,1065 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:16.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,127.59 W,100.00 %,90.60 %,9.22 W,4.0 %,1512 MHz,100.00 %,5.6 %,21.00 %,312.30 W,1170 MHz,94.56 %,65.00 °C,35.00 %,1170 MHz,64.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:16.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,126.33 W,100.00 %,90.40 %,9.25 W,6.8 %,1512 MHz,100.00 %,5.6 %,22.80 %,314.63 W,1155 MHz,94.56 %,65.00 °C,24.00 %,1155 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:16.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,128.11 W,100.00 %,70.00 %,9.29 W,4.0 %,1512 MHz,100.00 %,5.6 %,15.40 %,334.71 W,1125 MHz,94.56 %,65.00 °C,24.00 %,1125 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:16.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,115.47 W,100.00 %,70.00 %,9.28 W,4.0 %,1512 MHz,100.00 %,5.6 %,13.10 %,334.71 W,1155 MHz,94.56 %,65.00 °C,24.00 %,1155 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:16.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.23 W,100.00 %,94.00 %,9.34 W,3.4 %,1512 MHz,99.90 %,5.6 %,16.40 %,309.39 W,1125 MHz,94.56 %,65.00 °C,29.00 %,1125 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:16.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.82 W,100.00 %,70.10 %,9.12 W,3.4 %,1512 MHz,100.00 %,5.6 %,16.90 %,297.45 W,1125 MHz,94.56 %,65.00 °C,29.00 %,1125 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:16.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.20 W,100.00 %,70.00 %,9.31 W,3.7 %,1512 MHz,100.00 %,5.6 %,15.00 %,290.20 W,1110 MHz,94.56 %,65.00 °C,27.00 %,1110 MHz,64.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:16.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.71 W,100.00 %,90.10 %,9.33 W,5.3 %,1512 MHz,100.00 %,5.6 %,15.40 %,270.58 W,1155 MHz,94.56 %,65.00 °C,27.00 %,1155 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.30 %
2025-05-07 14:39:16.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.81 W,100.00 %,91.60 %,9.15 W,3.7 %,1512 MHz,100.00 %,5.6 %,16.60 %,305.69 W,1170 MHz,94.56 %,65.00 °C,26.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:17.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,102.96 W,100.00 %,70.00 %,9.27 W,3.7 %,1512 MHz,100.00 %,5.6 %,13.80 %,329.78 W,1080 MHz,94.56 %,65.00 °C,26.00 %,1080 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:17.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,106.90 W,100.00 %,13.60 %,9.22 W,4.0 %,1512 MHz,22.70 %,5.6 %,0.00 %,306.96 W,1170 MHz,94.56 %,65.00 °C,26.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,1.50 %
2025-05-07 14:39:17.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.46 W,100.00 %,90.20 %,9.31 W,4.0 %,1512 MHz,99.90 %,5.6 %,18.80 %,306.96 W,1170 MHz,94.56 %,65.00 °C,32.00 %,1170 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.05 GB/s,12.40 %
2025-05-07 14:39:17.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,111.10 W,100.00 %,69.90 %,9.19 W,3.4 %,1512 MHz,100.00 %,5.6 %,13.00 %,303.25 W,1080 MHz,94.56 %,65.00 °C,32.00 %,1080 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:17.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.42 W,100.00 %,70.00 %,9.17 W,4.9 %,1512 MHz,100.00 %,5.6 %,13.30 %,272.47 W,1080 MHz,94.56 %,65.00 °C,25.00 %,1080 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:17.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,107.49 W,100.00 %,90.40 %,9.13 W,4.7 %,1512 MHz,100.00 %,5.6 %,21.40 %,291.48 W,1170 MHz,94.56 %,65.00 °C,25.00 %,1170 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:17.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,106.68 W,100.00 %,90.50 %,9.35 W,3.1 %,1512 MHz,100.00 %,5.6 %,22.40 %,304.62 W,1170 MHz,94.56 %,65.00 °C,31.00 %,1170 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:17.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,107.21 W,100.00 %,70.10 %,9.24 W,2.8 %,1512 MHz,100.00 %,5.6 %,13.20 %,314.43 W,1170 MHz,94.56 %,65.00 °C,31.00 %,1170 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:17.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,123.45 W,100.00 %,91.00 %,9.07 W,3.4 %,1512 MHz,100.00 %,5.6 %,16.50 %,281.23 W,1170 MHz,94.56 %,65.00 °C,25.00 %,1170 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:17.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,121.27 W,100.00 %,91.70 %,9.20 W,3.7 %,1512 MHz,100.00 %,5.6 %,18.00 %,311.92 W,1170 MHz,94.56 %,65.00 °C,25.00 %,1170 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:18.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,112.27 W,100.00 %,70.10 %,9.24 W,3.7 %,1512 MHz,100.00 %,5.6 %,15.20 %,318.60 W,1050 MHz,94.56 %,65.00 °C,28.00 %,1050 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:18.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,128.75 W,100.00 %,33.40 %,9.09 W,3.7 %,1512 MHz,54.90 %,5.6 %,0.00 %,256.61 W,1050 MHz,94.56 %,65.00 °C,28.00 %,1050 MHz,65.00 °C,16,0.00 GB/s,0.10 GB/s,0.00 GB/s,4,0.04 GB/s,4.00 %
2025-05-07 14:39:18.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,128.70 W,100.00 %,0.00 %,9.32 W,3.4 %,1512 MHz,100.00 %,5.6 %,90.90 %,294.30 W,1155 MHz,94.56 %,65.00 °C,30.00 %,1155 MHz,66.00 °C,16,0.00 GB/s,0.05 GB/s,0.00 GB/s,4,0.04 GB/s,91.70 %
2025-05-07 14:39:18.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,122.20 W,100.00 %,4.30 %,9.16 W,3.4 %,1512 MHz,100.00 %,5.6 %,49.20 %,302.57 W,1080 MHz,94.56 %,65.00 °C,30.00 %,1080 MHz,66.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.05 GB/s,93.40 %
2025-05-07 14:39:18.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,112.48 W,100.00 %,69.90 %,9.23 W,4.0 %,1512 MHz,100.00 %,5.6 %,13.30 %,253.76 W,1065 MHz,94.56 %,65.00 °C,30.00 %,1065 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:18.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.34 W,100.00 %,90.30 %,9.24 W,3.7 %,1512 MHz,100.00 %,5.6 %,23.50 %,304.13 W,1155 MHz,94.56 %,65.00 °C,35.00 %,1155 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:18.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.63 W,100.00 %,91.00 %,9.32 W,3.7 %,1512 MHz,100.00 %,5.6 %,22.10 %,304.13 W,1095 MHz,94.56 %,65.00 °C,35.00 %,1095 MHz,65.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.40 %
2025-05-07 14:39:18.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,123.84 W,100.00 %,70.00 %,9.29 W,5.5 %,1512 MHz,100.00 %,5.6 %,14.00 %,358.88 W,1080 MHz,94.56 %,65.00 °C,23.00 %,1080 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:18.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,121.27 W,100.00 %,69.90 %,9.32 W,3.7 %,1512 MHz,100.00 %,5.6 %,14.90 %,262.09 W,1215 MHz,94.56 %,65.00 °C,23.00 %,1215 MHz,65.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.50 %
2025-05-07 14:39:18.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,109.16 W,100.00 %,94.10 %,9.33 W,5.3 %,1512 MHz,99.90 %,5.6 %,18.90 %,295.76 W,1275 MHz,94.56 %,65.00 °C,30.00 %,1275 MHz,66.00 °C,16,0.00 GB/s,0.09 GB/s,0.00 GB/s,4,0.05 GB/s,12.40 %
2025-05-07 14:39:19.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,103.44 W,100.00 %,92.20 %,9.17 W,0.9 %,1512 MHz,99.80 %,5.6 %,19.30 %,83.16 W,1395 MHz,90.02 %,65.00 °C,28.00 %,1395 MHz,62.00 °C,16,0.00 GB/s,0.08 GB/s,0.00 GB/s,4,0.04 GB/s,12.50 %
2025-05-07 14:39:19.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,101.44 W,100.00 %,0.00 %,9.39 W,0.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,347.44 W,1230 MHz,90.02 %,65.00 °C,11.00 %,1230 MHz,63.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,106.55 W,100.00 %,0.00 %,9.20 W,2.2 %,1512 MHz,0.00 %,5.6 %,0.00 %,78.98 W,1395 MHz,90.02 %,65.00 °C,11.00 %,1395 MHz,63.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.15 W,100.00 %,0.00 %,9.33 W,1.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,78.98 W,1410 MHz,90.02 %,63.00 °C,11.00 %,1410 MHz,61.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,107.19 W,28.00 %,0.00 %,9.28 W,1.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.71 W,1410 MHz,90.02 %,63.00 °C,6.00 %,1410 MHz,60.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,108.93 W,28.00 %,0.00 %,9.31 W,3.4 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.74 W,1410 MHz,90.02 %,63.00 °C,6.00 %,1410 MHz,60.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,104.56 W,0.00 %,0.00 %,9.27 W,3.1 %,1512 MHz,0.00 %,5.6 %,0.00 %,93.96 W,1410 MHz,90.02 %,63.00 °C,0.00 %,1410 MHz,60.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:19.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,105.99 W,0.00 %,0.00 %,9.31 W,2.2 %,1512 MHz,0.00 %,5.6 %,0.00 %,93.52 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,60.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,110.79 W,0.00 %,0.00 %,9.48 W,4.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,93.50 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,115.65 W,0.00 %,0.00 %,9.33 W,2.8 %,1512 MHz,0.00 %,5.6 %,0.00 %,93.13 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,123.14 W,0.00 %,0.00 %,9.53 W,8.8 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,147.92 W,0.00 %,0.00 %,9.10 W,1.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.11 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,145.56 W,0.00 %,0.00 %,9.08 W,1.8 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,140.02 W,0.00 %,0.00 %,9.08 W,1.5 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.08 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,140.76 W,0.00 %,0.00 %,9.15 W,1.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,143.57 W,0.00 %,0.00 %,9.02 W,2.2 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.98 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.11 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,132.57 W,0.00 %,0.00 %,9.15 W,1.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.88 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:20.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,130.74 W,0.00 %,0.00 %,9.21 W,1.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,135.57 W,0.00 %,0.00 %,9.21 W,1.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.98 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,130.29 W,0.00 %,0.00 %,9.26 W,1.5 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.88 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,130.80 W,0.00 %,0.00 %,9.24 W,4.1 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.88 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,145.19 W,0.00 %,0.00 %,9.18 W,2.8 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.94 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,145.63 W,0.00 %,0.00 %,9.14 W,0.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.01 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.28 W,0.00 %,0.00 %,9.16 W,1.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,92.01 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,58.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.84 W,0.00 %,0.00 %,9.32 W,4.0 %,1512 MHz,0.00 %,5.6 %,0.00 %,80.83 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,59.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,140.61 W,0.00 %,0.00 %,9.19 W,0.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,58.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,150.34 W,0.00 %,0.00 %,9.02 W,1.6 %,1512 MHz,0.00 %,5.6 %,0.00 %,91.20 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,58.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
2025-05-07 14:39:21.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,149.91 W,0.00 %,0.00 %,9.16 W,1.9 %,1512 MHz,0.00 %,5.6 %,0.00 %,80.49 W,1410 MHz,90.02 %,61.00 °C,0.00 %,1410 MHz,58.00 °C,16,0.00 GB/s,0.12 GB/s,0.00 GB/s,4,0.05 GB/s,0.00 %
