timestamp,task_name,name,index,nvlink_tx_bytes,clocks.current.memory [MHz],nvlink_rx_bytes,pcie_tx_bytes,sm_occupancy,clocks.current.sm [MHz],clocks.current.graphics [MHz],pcie.link.gen.current,temperature.gpu,pcie_rx_bytes,tensor_active,temperature.memory,sm_active,dram_power,power.draw [W],pcie.link.width.current,usage.memory [%],dram_usage,utilization.memory [%],cpu_power,cpu_usage,utilization.gpu [%],dram_active
2025-05-07 17:16:58.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.07 W,65.66 W,16,0.00 %,4.6 %,0.00 %,81.88 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:58.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1320 MHz,1320 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.41 W,62.91 W,16,0.00 %,4.6 %,0.00 %,83.33 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:58.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.13 W,66.64 W,16,0.00 %,4.6 %,0.00 %,82.04 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:58.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,66.55 W,16,0.00 %,4.6 %,0.00 %,81.52 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:58.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.25 W,75.78 W,16,0.00 %,4.6 %,0.00 %,83.11 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:58.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,75.87 W,16,0.00 %,4.6 %,0.00 %,81.58 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:58.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.20 W,75.89 W,16,0.00 %,4.6 %,0.00 %,81.80 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:16:58.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.29 W,75.87 W,16,0.00 %,4.6 %,0.00 %,83.93 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:16:59.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.29 W,75.87 W,16,0.00 %,4.6 %,0.00 %,82.62 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:16:59.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.39 W,75.97 W,16,0.00 %,4.6 %,0.00 %,81.07 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:16:59.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.23 W,75.87 W,16,0.00 %,4.6 %,0.00 %,81.39 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:59.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.25 W,75.97 W,16,0.00 %,4.6 %,0.00 %,83.81 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:16:59.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,76.07 W,16,0.00 %,4.6 %,0.00 %,82.37 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:59.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,75.97 W,16,0.00 %,4.6 %,0.00 %,81.61 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:16:59.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,76.07 W,16,0.00 %,4.6 %,0.00 %,83.95 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:16:59.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,75.87 W,16,0.00 %,4.6 %,0.00 %,82.74 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:16:59.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,75.87 W,16,0.00 %,4.6 %,0.00 %,83.36 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:16:59.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.16 W,70.08 W,16,0.00 %,4.6 %,0.00 %,83.71 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:17:00.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,76.07 W,16,0.00 %,4.6 %,0.00 %,82.53 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:17:00.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,75.97 W,16,0.00 %,4.6 %,0.00 %,83.03 W,0.9 %,0.00 %,0.00 %
2025-05-07 17:17:00.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,66.93 W,16,0.00 %,4.6 %,0.00 %,83.98 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:00.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.29 W,66.93 W,16,0.00 %,4.6 %,0.00 %,83.10 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:00.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.40 W,64.36 W,16,0.00 %,4.6 %,0.00 %,84.23 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:00.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,74.79 W,16,0.00 %,4.6 %,0.00 %,82.18 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:00.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,74.20 W,16,0.00 %,4.6 %,0.00 %,81.96 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:17:00.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.26 W,75.10 W,16,0.00 %,4.6 %,0.00 %,81.41 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:00.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,65.75 W,16,0.00 %,4.6 %,0.00 %,84.15 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:01.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.36 W,65.65 W,16,0.00 %,4.6 %,0.00 %,81.45 W,3.4 %,0.00 %,0.00 %
2025-05-07 17:17:01.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.40 W,68.32 W,16,0.00 %,4.6 %,0.00 %,83.09 W,4.4 %,0.00 %,0.00 %
2025-05-07 17:17:01.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,69.20 W,16,0.00 %,4.6 %,0.00 %,82.06 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:17:01.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,70.60 W,16,0.00 %,4.6 %,0.00 %,82.95 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:01.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.40 W,68.91 W,16,0.00 %,4.6 %,0.00 %,83.71 W,4.6 %,0.00 %,0.00 %
2025-05-07 17:17:01.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.23 W,68.32 W,16,0.00 %,4.6 %,0.00 %,83.73 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:01.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.05 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,72.85 W,16,0.00 %,4.6 %,0.00 %,81.35 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:01.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1410 MHz,1410 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,68.22 W,16,0.00 %,4.6 %,0.00 %,82.80 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:17:01.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1245 MHz,1245 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,63.00 W,16,0.00 %,4.6 %,0.00 %,82.16 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:17:02.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.11 GB/s,0.00 %,1245 MHz,1245 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.21 W,60.24 W,16,0.00 %,4.6 %,0.00 %,83.28 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:02.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.14 W,59.87 W,16,0.00 %,4.6 %,0.00 %,82.19 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:02.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,61.82 W,16,0.00 %,4.6 %,0.00 %,82.97 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:02.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.18 W,62.69 W,16,0.00 %,4.6 %,0.00 %,82.42 W,1.8 %,0.00 %,0.00 %
2025-05-07 17:17:02.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.35 W,62.60 W,16,0.00 %,4.6 %,0.00 %,82.14 W,0.6 %,0.00 %,0.00 %
2025-05-07 17:17:02.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,55.83 W,16,0.00 %,4.6 %,0.00 %,85.44 W,0.9 %,0.00 %,0.00 %
2025-05-07 17:17:02.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,56.81 W,16,0.00 %,4.6 %,0.00 %,82.86 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:02.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.42 W,59.94 W,16,0.00 %,4.6 %,0.00 %,83.30 W,4.3 %,0.00 %,0.00 %
2025-05-07 17:17:02.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.14 W,57.10 W,16,0.00 %,4.6 %,0.00 %,83.06 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:17:02.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.37 W,56.81 W,16,0.00 %,4.6 %,0.00 %,81.81 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:03.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.19 W,64.17 W,16,0.00 %,4.6 %,0.00 %,81.61 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:03.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,56.81 W,16,0.00 %,4.6 %,0.00 %,82.37 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:03.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.33 W,56.72 W,16,0.00 %,4.6 %,0.00 %,83.11 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:03.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,56.62 W,16,0.00 %,4.6 %,0.00 %,83.79 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:17:03.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.25 W,56.62 W,16,0.00 %,4.6 %,0.00 %,82.13 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:03.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.17 W,64.08 W,16,0.00 %,4.6 %,0.00 %,83.74 W,1.9 %,0.00 %,0.00 %
2025-05-07 17:17:03.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,58.10 W,16,0.00 %,4.6 %,0.00 %,84.00 W,1.5 %,0.00 %,0.00 %
2025-05-07 17:17:03.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.27 W,58.10 W,16,0.00 %,4.6 %,0.00 %,82.93 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:03.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.32 W,58.20 W,16,0.00 %,4.6 %,0.00 %,84.69 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:17:03.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1215 MHz,1215 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,57.20 W,16,0.00 %,4.6 %,0.00 %,82.75 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:17:04.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1215 MHz,1215 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.33 W,54.54 W,16,0.00 %,4.6 %,0.00 %,83.33 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:17:04.1,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1215 MHz,1215 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,54.54 W,16,0.00 %,4.6 %,0.00 %,82.78 W,3.7 %,0.00 %,0.00 %
2025-05-07 17:17:04.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1215 MHz,1215 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.30 W,54.63 W,16,0.00 %,4.6 %,0.00 %,82.00 W,2.8 %,0.00 %,0.00 %
2025-05-07 17:17:04.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1200 MHz,1200 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,54.05 W,16,0.00 %,4.6 %,0.00 %,82.52 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:04.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1200 MHz,1200 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.31 W,53.26 W,16,0.00 %,4.6 %,0.00 %,83.21 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:04.5,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1200 MHz,1200 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.42 W,53.25 W,16,0.00 %,4.6 %,0.00 %,81.52 W,1.6 %,0.00 %,0.00 %
2025-05-07 17:17:04.6,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1200 MHz,1200 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.29 W,52.86 W,16,0.00 %,4.6 %,0.00 %,84.23 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:04.7,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1185 MHz,1185 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,52.37 W,16,0.00 %,4.6 %,0.00 %,81.56 W,1.2 %,0.00 %,0.00 %
2025-05-07 17:17:04.8,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1185 MHz,1185 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.24 W,51.87 W,16,0.00 %,4.6 %,0.00 %,84.02 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:04.9,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1155 MHz,1155 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.33 W,50.79 W,16,0.00 %,4.6 %,0.00 %,84.99 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:05.0,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1155 MHz,1155 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.22 W,55.13 W,16,0.00 %,4.6 %,0.00 %,82.12 W,2.2 %,0.00 %,0.00 %
2025-05-07 17:17:05.2,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1140 MHz,1140 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.34 W,52.66 W,16,0.00 %,4.6 %,0.00 %,83.34 W,5.2 %,0.00 %,0.00 %
2025-05-07 17:17:05.3,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.09 GB/s,0.00 %,1140 MHz,1140 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.28 W,48.83 W,16,0.00 %,4.6 %,0.00 %,81.49 W,2.5 %,0.00 %,0.00 %
2025-05-07 17:17:05.4,sleep,NVIDIA A800 80GB PCIe,0,0.00 GB/s,1512 MHz,0.00 GB/s,0.10 GB/s,0.00 %,1290 MHz,1290 MHz,4,33.00 °C,0.04 GB/s,0.00 %,35.00 °C,0.00 %,9.38 W,49.92 W,16,0.00 %,4.6 %,0.00 %,84.78 W,5.3 %,0.00 %,0.00 %
