timestamp,task_name,name,index,temperature.memory,nvlink_tx_bytes,nvlink_rx_bytes,usage.memory [%],tensor_active,sm_occupancy,power.draw [W],utilization.memory [%],dram_active,dram_usage,clocks.current.graphics [MHz],cpu_usage,cpu_power,pcie.link.gen.current,pcie_rx_bytes,clocks.current.memory [MHz],dram_power,clocks.current.sm [MHz],temperature.gpu,pcie_tx_bytes,pcie.link.width.current,sm_active,utilization.gpu [%]
2025-05-07 16:35:16.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,9.20 %,1.10 %,295.18 W,35.00 %,0.00 %,5.6 %,1155 MHz,3.4 %,107.36 W,4,0.04 GB/s,1512 MHz,9.24 W,1155 MHz,67.00 °C,0.09 GB/s,16,15.40 %,100.00 %
2025-05-07 16:35:16.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.80 %,12.50 %,303.54 W,35.00 %,19.10 %,5.6 %,1155 MHz,3.4 %,103.43 W,4,0.04 GB/s,1512 MHz,9.26 W,1155 MHz,67.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:17.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,310.84 W,23.00 %,14.10 %,5.6 %,1050 MHz,3.7 %,107.42 W,4,0.05 GB/s,1512 MHz,9.20 W,1050 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.90 %,12.50 %,254.05 W,23.00 %,13.40 %,5.6 %,1095 MHz,5.6 %,118.72 W,4,0.04 GB/s,1512 MHz,9.23 W,1095 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,89.60 %,12.30 %,314.82 W,30.00 %,14.50 %,5.6 %,1170 MHz,3.7 %,123.53 W,4,0.04 GB/s,1512 MHz,9.34 W,1170 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.70 %,12.40 %,307.54 W,30.00 %,22.60 %,5.6 %,1110 MHz,5.0 %,146.85 W,4,0.04 GB/s,1512 MHz,9.22 W,1110 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,307.54 W,30.00 %,12.80 %,5.6 %,1095 MHz,3.7 %,138.97 W,4,0.02 GB/s,1512 MHz,9.01 W,1095 MHz,66.00 °C,0.04 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.30 %,12.40 %,295.27 W,26.00 %,23.10 %,5.6 %,1155 MHz,2.2 %,132.55 W,4,0.04 GB/s,1512 MHz,9.05 W,1155 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.00 %,12.30 %,301.11 W,26.00 %,16.50 %,5.6 %,1185 MHz,3.7 %,107.50 W,4,0.04 GB/s,1512 MHz,9.15 W,1185 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,301.11 W,27.00 %,16.40 %,5.6 %,1095 MHz,4.0 %,106.83 W,4,0.04 GB/s,1512 MHz,9.27 W,1095 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:17.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.90 %,12.40 %,231.19 W,31.00 %,16.60 %,5.6 %,1170 MHz,5.6 %,110.30 W,4,0.03 GB/s,1512 MHz,9.46 W,1170 MHz,66.00 °C,0.06 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.00 %,12.50 %,345.67 W,31.00 %,18.60 %,5.6 %,1155 MHz,5.8 %,144.12 W,4,0.04 GB/s,1512 MHz,9.56 W,1155 MHz,67.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:18.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.90 %,12.50 %,345.67 W,31.00 %,18.20 %,5.6 %,1065 MHz,3.6 %,136.80 W,4,0.04 GB/s,1512 MHz,9.21 W,1065 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,271.93 W,22.00 %,14.20 %,5.6 %,1065 MHz,3.4 %,122.63 W,4,0.05 GB/s,1512 MHz,9.22 W,1065 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.20 %,12.40 %,304.91 W,22.00 %,15.60 %,5.6 %,1170 MHz,5.6 %,124.08 W,4,0.04 GB/s,1512 MHz,9.39 W,1170 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.60 %,12.40 %,305.69 W,35.00 %,16.30 %,5.6 %,1125 MHz,6.2 %,134.45 W,4,0.04 GB/s,1512 MHz,9.51 W,1125 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,285.12 W,35.00 %,13.40 %,5.6 %,1080 MHz,4.6 %,143.16 W,4,0.04 GB/s,1512 MHz,9.22 W,1080 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.60 %,12.40 %,221.87 W,29.00 %,23.10 %,5.6 %,1170 MHz,4.3 %,142.79 W,4,0.04 GB/s,1512 MHz,9.07 W,1170 MHz,66.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.90 %,12.50 %,303.35 W,29.00 %,18.70 %,5.6 %,1155 MHz,3.1 %,125.24 W,4,0.04 GB/s,1512 MHz,9.25 W,1155 MHz,67.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:18.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,363.35 W,29.00 %,11.90 %,5.6 %,1065 MHz,3.4 %,114.19 W,4,0.05 GB/s,1512 MHz,9.08 W,1065 MHz,68.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:18.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,363.35 W,27.00 %,13.50 %,5.6 %,1170 MHz,4.0 %,115.44 W,4,0.04 GB/s,1512 MHz,9.31 W,1170 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.40 %,12.40 %,305.88 W,27.00 %,15.60 %,5.6 %,1155 MHz,3.7 %,112.02 W,4,0.04 GB/s,1512 MHz,9.23 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.40 %,12.40 %,274.39 W,26.00 %,17.20 %,5.6 %,1155 MHz,3.7 %,107.06 W,4,0.04 GB/s,1512 MHz,9.29 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.90 %,12.50 %,283.86 W,26.00 %,16.70 %,5.6 %,1050 MHz,3.1 %,109.02 W,4,0.04 GB/s,1512 MHz,9.38 W,1050 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,92.50 %,232.37 W,31.00 %,56.30 %,5.6 %,1155 MHz,3.4 %,108.19 W,4,0.05 GB/s,1512 MHz,9.21 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,0.00 %,92.30 %,301.60 W,31.00 %,53.20 %,5.6 %,1155 MHz,3.1 %,102.76 W,4,0.04 GB/s,1512 MHz,9.42 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,338.53 W,26.00 %,12.50 %,5.6 %,1050 MHz,3.4 %,108.40 W,4,0.05 GB/s,1512 MHz,9.37 W,1050 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,308.60 W,26.00 %,12.20 %,5.6 %,1170 MHz,3.4 %,104.46 W,4,0.04 GB/s,1512 MHz,9.35 W,1170 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:19.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.60 %,12.50 %,305.50 W,31.00 %,18.80 %,5.6 %,1155 MHz,5.0 %,103.36 W,4,0.04 GB/s,1512 MHz,9.44 W,1155 MHz,67.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:19.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,310.72 W,31.00 %,13.50 %,5.6 %,1065 MHz,4.0 %,104.59 W,4,0.05 GB/s,1512 MHz,9.35 W,1065 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.80 %,12.50 %,248.16 W,24.00 %,13.40 %,5.6 %,1095 MHz,2.8 %,107.52 W,4,0.05 GB/s,1512 MHz,9.29 W,1095 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.30 %,12.50 %,309.78 W,24.00 %,18.20 %,5.6 %,1155 MHz,3.4 %,108.02 W,4,0.04 GB/s,1512 MHz,9.13 W,1155 MHz,67.00 °C,0.08 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:20.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,69.90 %,12.50 %,331.92 W,29.00 %,15.50 %,5.6 %,1065 MHz,3.7 %,106.42 W,4,0.05 GB/s,1512 MHz,9.24 W,1065 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,335.12 W,29.00 %,11.90 %,5.6 %,1080 MHz,3.4 %,105.81 W,4,0.04 GB/s,1512 MHz,9.25 W,1080 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.60 %,12.40 %,314.45 W,25.00 %,21.80 %,5.6 %,1155 MHz,3.4 %,104.46 W,4,0.04 GB/s,1512 MHz,9.32 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.10 %,12.50 %,306.98 W,25.00 %,17.00 %,5.6 %,1125 MHz,3.1 %,104.71 W,4,0.04 GB/s,1512 MHz,9.33 W,1125 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,282.99 W,33.00 %,14.80 %,5.6 %,1095 MHz,4.3 %,116.27 W,4,0.05 GB/s,1512 MHz,9.34 W,1095 MHz,67.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.20 %,12.40 %,268.92 W,33.00 %,15.60 %,5.6 %,1155 MHz,3.4 %,108.50 W,4,0.04 GB/s,1512 MHz,9.46 W,1155 MHz,67.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:20.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.00 %,12.40 %,305.79 W,24.00 %,20.90 %,5.6 %,1185 MHz,4.3 %,109.77 W,4,0.04 GB/s,1512 MHz,9.29 W,1185 MHz,68.00 °C,0.08 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:21.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,70.00 %,12.50 %,323.39 W,24.00 %,14.40 %,5.6 %,1050 MHz,4.9 %,115.41 W,4,0.05 GB/s,1512 MHz,9.32 W,1050 MHz,68.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:21.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,69.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,91.90 %,12.40 %,301.80 W,24.00 %,18.00 %,5.6 %,1200 MHz,5.8 %,147.99 W,4,0.04 GB/s,1512 MHz,9.34 W,1200 MHz,66.00 °C,0.09 GB/s,16,100.00 %,100.00 %
2025-05-07 16:35:21.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,94.56 %,90.00 %,12.50 %,281.83 W,31.00 %,21.90 %,5.6 %,1260 MHz,4.3 %,149.50 W,4,0.05 GB/s,1512 MHz,8.95 W,1260 MHz,68.00 °C,0.09 GB/s,16,99.90 %,100.00 %
2025-05-07 16:35:21.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,67.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,88.49 W,27.00 %,0.00 %,5.6 %,1395 MHz,0.3 %,142.52 W,4,0.05 GB/s,1512 MHz,9.17 W,1395 MHz,63.00 °C,0.11 GB/s,16,0.00 %,100.00 %
2025-05-07 16:35:21.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,361.58 W,10.00 %,0.00 %,5.6 %,1320 MHz,1.6 %,136.32 W,4,0.04 GB/s,1512 MHz,9.14 W,1320 MHz,65.00 °C,0.10 GB/s,16,0.00 %,95.00 %
2025-05-07 16:35:21.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,89.28 W,10.00 %,0.00 %,5.6 %,1380 MHz,1.9 %,138.29 W,4,0.05 GB/s,1512 MHz,9.22 W,1380 MHz,63.00 °C,0.12 GB/s,16,0.00 %,95.00 %
2025-05-07 16:35:21.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.04 W,9.00 %,0.00 %,5.6 %,1410 MHz,2.1 %,145.79 W,4,0.05 GB/s,1512 MHz,9.22 W,1410 MHz,62.00 °C,0.12 GB/s,16,0.00 %,40.00 %
2025-05-07 16:35:21.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,94.28 W,9.00 %,0.00 %,5.6 %,1410 MHz,2.1 %,142.13 W,4,0.05 GB/s,1512 MHz,9.38 W,1410 MHz,62.00 °C,0.12 GB/s,16,0.00 %,40.00 %
2025-05-07 16:35:21.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.73 W,0.00 %,0.00 %,5.6 %,1410 MHz,2.2 %,146.52 W,4,0.05 GB/s,1512 MHz,9.07 W,1410 MHz,62.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,65.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,94.19 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.8 %,148.84 W,4,0.05 GB/s,1512 MHz,9.08 W,1410 MHz,62.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.54 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.8 %,146.31 W,4,0.05 GB/s,1512 MHz,9.06 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.04 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.9 %,146.75 W,4,0.05 GB/s,1512 MHz,9.09 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,91.85 W,0.00 %,0.00 %,5.6 %,1410 MHz,4.4 %,146.88 W,4,0.05 GB/s,1512 MHz,9.24 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,91.85 W,0.00 %,0.00 %,5.6 %,1410 MHz,4.1 %,148.14 W,4,0.05 GB/s,1512 MHz,9.19 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.24 W,0.00 %,0.00 %,5.6 %,1410 MHz,2.1 %,147.54 W,4,0.05 GB/s,1512 MHz,9.23 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.40 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.2 %,150.70 W,4,0.05 GB/s,1512 MHz,9.17 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.31 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.5 %,148.36 W,4,0.05 GB/s,1512 MHz,9.26 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.84 W,0.00 %,0.00 %,5.6 %,1410 MHz,4.9 %,152.65 W,4,0.05 GB/s,1512 MHz,9.16 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:22.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.33 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.5 %,147.81 W,4,0.05 GB/s,1512 MHz,9.30 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.24 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.6 %,147.75 W,4,0.05 GB/s,1512 MHz,9.15 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.04 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.9 %,150.51 W,4,0.05 GB/s,1512 MHz,9.14 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.2,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.24 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.6 %,146.81 W,4,0.05 GB/s,1512 MHz,9.04 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.3,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.24 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.6 %,147.33 W,4,0.05 GB/s,1512 MHz,9.26 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.4,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,91.94 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.9 %,147.01 W,4,0.05 GB/s,1512 MHz,9.10 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.5,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.13 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.9 %,147.90 W,4,0.05 GB/s,1512 MHz,9.09 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.6,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.84 W,0.00 %,0.00 %,5.6 %,1410 MHz,3.4 %,149.06 W,4,0.05 GB/s,1512 MHz,9.21 W,1410 MHz,61.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.7,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.33 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.6 %,148.98 W,4,0.05 GB/s,1512 MHz,9.08 W,1410 MHz,60.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.8,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.72 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.5 %,151.72 W,4,0.05 GB/s,1512 MHz,9.13 W,1410 MHz,60.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:23.9,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,92.61 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.5 %,147.26 W,4,0.05 GB/s,1512 MHz,9.20 W,1410 MHz,60.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:24.0,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.69 W,0.00 %,0.00 %,5.6 %,1410 MHz,1.9 %,147.86 W,4,0.05 GB/s,1512 MHz,9.21 W,1410 MHz,60.00 °C,0.12 GB/s,16,0.00 %,0.00 %
2025-05-07 16:35:24.1,prefill_decode_batch_size_2,NVIDIA A800 80GB PCIe,0,63.00 °C,0.00 GB/s,0.00 GB/s,90.02 %,0.00 %,0.00 %,93.59 W,0.00 %,0.00 %,5.6 %,1410 MHz,3.4 %,147.62 W,4,0.05 GB/s,1512 MHz,9.24 W,1410 MHz,60.00 °C,0.12 GB/s,16,0.00 %,0.00 %
